"experiment","subject","condition","conditionC","totalTrialNum","totalTrialNumC","blockNum","categoryLoc","imageName","imageType","isRight","RT","totalTimeMinutes","Age","Gender","L1English"
"1A","p191463","low",-0.5,24,11.5,3,"right","low_A_001.png","1ColorDiff",1,1897,4.7405,31,"Female","English"
"1A","p590566","high",0.5,1,-11.5,1,"right","high_B_110.png","1ColorDiff",0,2111,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,2,-10.5,1,"right","high_B_111.png","prototype",1,1797,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,3,-9.5,1,"right","high_B_111.png","prototype",1,1229,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,4,-8.5,1,"left","high_A_001.png","1ColorDiff",0,1450,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,5,-7.5,1,"right","high_B_101.png","1ColorDiff",1,1423,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,6,-6.5,1,"left","high_A_010.png","1ColorDiff",1,1124,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,7,-5.5,1,"left","high_A_000.png","prototype",1,1662,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,8,-4.5,1,"left","high_A_000.png","prototype",1,1439,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,9,-3.5,2,"left","high_A_001.png","1ColorDiff",0,1787,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,10,-2.5,2,"right","high_B_110.png","1ColorDiff",0,1621,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,11,-1.5,2,"right","high_B_111.png","prototype",1,1687,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,12,-0.5,2,"right","high_B_101.png","1ColorDiff",1,1582,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,13,0.5,2,"left","high_A_010.png","1ColorDiff",1,1325,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,14,1.5,2,"left","high_A_000.png","prototype",1,1377,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,15,2.5,2,"right","high_B_111.png","prototype",1,1207,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,16,3.5,2,"left","high_A_000.png","prototype",1,1311,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,17,4.5,3,"left","high_A_010.png","1ColorDiff",1,1534,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,18,5.5,3,"left","high_A_001.png","1ColorDiff",0,1158,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,19,6.5,3,"right","high_B_110.png","1ColorDiff",0,1153,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,20,7.5,3,"left","high_A_000.png","prototype",1,1374,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,21,8.5,3,"right","high_B_101.png","1ColorDiff",1,3439,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,22,9.5,3,"left","high_A_000.png","prototype",1,1262,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,23,10.5,3,"right","high_B_111.png","prototype",1,1389,3.53938333333333,30,"Male","English"
"1A","p590566","high",0.5,24,11.5,3,"right","high_B_111.png","prototype",1,1294,3.53938333333333,30,"Male","English"
"1A","p461893","high",0.5,1,-11.5,1,"right","high_B_111.png","prototype",1,5256,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,2,-10.5,1,"right","high_B_110.png","1ColorDiff",1,1480,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,3,-9.5,1,"left","high_A_001.png","1ColorDiff",1,981,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,4,-8.5,1,"left","high_A_010.png","1ColorDiff",1,1002,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,5,-7.5,1,"left","high_A_000.png","prototype",1,2261,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,6,-6.5,1,"right","high_B_101.png","1ColorDiff",1,907,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,7,-5.5,1,"right","high_B_111.png","prototype",1,2502,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,8,-4.5,1,"left","high_A_000.png","prototype",1,1412,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,9,-3.5,2,"right","high_B_111.png","prototype",1,2115,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,10,-2.5,2,"right","high_B_110.png","1ColorDiff",0,1026,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,11,-1.5,2,"left","high_A_010.png","1ColorDiff",0,1329,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,12,-0.5,2,"left","high_A_001.png","1ColorDiff",1,1549,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,13,0.5,2,"right","high_B_101.png","1ColorDiff",1,1996,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,14,1.5,2,"left","high_A_000.png","prototype",1,1003,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,15,2.5,2,"left","high_A_000.png","prototype",1,1100,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,16,3.5,2,"right","high_B_111.png","prototype",1,1197,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,17,4.5,3,"left","high_A_001.png","1ColorDiff",0,6202,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,18,5.5,3,"left","high_A_010.png","1ColorDiff",1,1188,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,19,6.5,3,"left","high_A_000.png","prototype",1,1332,2.54673333333333,25,"Female","English"
